pmid,processed_title,processed_abstract
29732994,towards standardized stem cell therapy in type 2 diabetes mellitus a systematic review,objective to compile and analyze the published study on cell therapy for type 2 diabetes mellitus t2dm to obtain a better insight into management of t2dm that involved stem cell therapy method we searched all published study in pubmedmedline and cochrane library using keywords stem cell and therapy and diabetes type 2 inclusion criterion original article on the use of stem cell in human with t2dm exclusion criterion article in the nonenglish literature study on t2dm complication that did not assess both adverse event and any of the common diabetes study outcome data collection type of study number of case and all data that were related to outcome and adverse event data were analyzed descriptively to conclude the possible cause of adverse reaction and which protocol gave a satisfactory outcome result we collected 25 original article out of which 17 study did not have control and were classified a case report while there were 8 study that were controlled clinical trial most study used autologous bone marrow mononuclear cell bmmncs or autologous or allogeneic mesenchymal stem cell msc from various source adverse event were mild and mostly intervention related efficacy of autologous bmmncs that were given via interventional route wa comparable to wharton jelly or umbilical cord msc that were given via intravenous iv intra muscular im or subcutaneous sc route conclusion further controlled study that compare bmmncs to bmmscs or wjmscs or ucscs are recommended to prove their comparable efficacy in addition study that compare various route of administration iv im or sc versus the more invasive interventional route are needed
29699462,illness perception a a predictor of foot care behavior among people with type 2 diabetes mellitus in indonesia,introduction illness perception may contribute to foot care behavior because people with type 2 diabetes mellitus t2dm in indonesia may have different belief that influence their foot care behavior this study aimed to determine the relationship among foot care knowledge illness perception local belief and foot care behavior in people with t2dm in indonesia method crosssectional study with a convenience sampling technique wa used to recruit 200 people with t2dm from the outpatient department of islamic hospital the foot care knowledge brief illness perception local belief and foot selfcare behavior questionnaire were administered result the predictor of foot care were having a family member or friend with diabetic foot ulcer p 001 diabetes mellitus duration p 026 foot care knowledge p 001 consequence p 001 treatment control p 001 and local belief p 017 discussion health care provider may cultivate a spiritual approach providing success story to create positive image of the disease outcome and increase patient confidence to control the disease
31802883,lppla2 selective inhibitor darapladib effect in lowering the expression level of il1b and il6 in the renal at type 2 diabetes mellitus,purpose the aim of this study is to prove that type 2 diabetes mellitus can induce increasing inflammation marker in renal and that the provision of darapladib a lpla2 inhibitor agent can inhibit inflammation that were measured from the expression of il1b and il6 type cytokine in renal this study also discusses the correlation between il1b and il6 type cytokine expression in renal method thirty spraguedawley sd rat were divided into three main group those are negative control group nc type 2 diabetes mellitus group t2dm given high fat diet hfd with streptozotocin intraperitoneal injection 35mgkg bw and diabetes mellitus darapladib group dm dp each group wa treated within two serial treatment time 8 week and 16 week expression of il1b and il6 type cytokine in renal were the marker that we measured by immunofluorosense method result the administration of darapladib can significantly decrease the expression of il1b type cytokine p anova 0029 p 0005 measured in rat renal both at week 8 and 16 in the t2dm group the expression of il6 type cytokine also showed a significant difference after treated with darapladib both at week 8 and 16 in t2dm group with pvalue of anova 0033 p 0005 the pearson correlation showed a strong correlation linear regression value wa r2 0743 conclusion our result show that atherosclerosis caused by inflammation in renal t2dm sd rat could be inhibited by the administration of darapladib
32781787,secondhand smoke correlate with elevated neutrophillymphocyte ratio and ha a synergistic effect with physical inactivity on increasing susceptibility to type 2 diabetes mellitus a communitybased case control study,secondhand smoke shs and physical inactivity are thought to be associated with type 2 diabetes mellitus t2dm but the synergistic effect of shs with physical inactivity and their relationship with t2dmassociated inflammation biomarkers have not been estimated we investigated the role of shs exposure and physical inactivity and their synergistic effect on t2dm risk and their relationship with t2dm associated inflammation biomarkers neutrophillymphocyte ratio nlr and white blood cell wbc a casecontrol study wa conducted in total 588 participant 294 case t2dm and 294 healthy control from five community clinic in indonesia participant completed a standardized questionnaire on demographic information smoking status physical activity habit and food consumption wbc and nlr level were determined using an automated hematology analyzer adjusted odds ratio aors and 95 confidence interval ci were analyzed using multiple logistic regression model the synergistic effect wa analyzed using additive interaction for logistic regression physical inactive people exposed to shs exhibited a synergistically increased 778fold risk of t2dm compared with people who were not exposed to shs and who were physically active shs is significantly correlated with a high nlr wbc and ha a synergistic effect with physical inactivity on increasing susceptibility to t2dm
32425577,impact of low interferongamma and il10 level on tnfalpha and il6 production by phainduced pbmcs in type 2 diabetes mellitus,purpose in this study we analyzed the production of interferon gamma ifngamma and interleukin 10 il10 by peripheral blood mononuclear cell pbmcs in patient with type 2 diabetes mellitus t2dm we aimed to investigate the capacity of monocyte to produce tumor necrosis factoralpha tnfalpha and interleukin 6 il6 following ifngamma stimulation and the associated role of il10 in tnfalpha and il6 production patient and method in vitro experiment were conducted on pbmcs obtained from 19 patient with t2dm and 17 healthy participant pbmcs were isolated from venous blood by density gradient centrifugation followed by 3day phytohemagglutinin induction in vitro production of tnfalpha il6 ifngamma and il10 wa measured using the multiplex immunoassay statistical analysis wa performed using ibm spss 23 version result ifngamma concentration in the t2dm group wa significantly lower than that in control group t2dm 770086 303777 v control 1067269 562550 pgml p 0048 however tnfalpha il6 and il10 level showed no significant difference between the two group the tnfalphaifngamma and il6ifngamma ratio were significantly higher in t2dm than in the control group p 0026 and p 0048 respectively in t2dm the high tnfalphaifngamma ratio wa consistent with the low baseline il10 level p 0022 conclusion in t2dm tcell response is impaired with significantly reduced ifngamma production and simultaneously circulatory monocyte show enhanced cellular responsiveness to inflammatory stimulus the low baseline il10 level likely contributes to such an immune response
33343199,altered indoleamine 23dioxygenase production and it association to inflammatory cytokine in peripheral blood mononuclear cell culture of type 2 diabetes mellitus,aim to analyze indoleamine 23dioxygenase ido production in the cell culture supernatant of phytohemagglutinin phastimulated peripheral blood mononuclear cell pbmcs from type 2 dm t2dm patient and investigate ido association to pro and antiinflammatory cytokine subject and method pbmc sample were collected from 21 t2dm patient and 17 normoglycemic participant then stimulated with pha for 3 day cytokine and ido concentration were measured in the pbmc culture supernatant in vitro production of tnfalpha il6 interferongamma and il10 were measured using multiplex immunoassay ido concentration wa assessed using elisa to assess how pha stimulation altered ido production and to minimize the unstimulated baseline effect of t2dm we subtracted the phastimulated ido concentration from the unstimulated one ibm spss version 23 wa used for statistical analysis result the ido concentration in the pbmc culture supernatant were significantly higher in t2dm patient regardless of whether they were unstimulated p 001 or phastimulated p 012 reduced ido production wa observed in 528 of t2dm patient and wa associated with older age and lower interferongamma level conversely 428 of t2dm patient showed increased ido concentration which were correlated with the il6il10 ratio r 0683 p 021 and interferongammail10 ratio r 0517 p 077 conclusion the interferongamma level wa reduced in the pbmc culture supernatant of t2dm patient with reduced ido production reduced ido production in t2dm patient following pha stimulation wa associated with older age and notably higher baseline ido concentration since ido is primarily produced by dendritic cell reduced ido production after pha stimulation may indicate dendritic cell dysfunction
40121696,the correlation of caloric intake from sugarsweetened beverage ssb on type 2 diabetes mellitus t2dm risk in indonesia,among the concerning commercial practice are those related to sugarsweetened beverage ssbs which offer little nutritional value and contribute to energydense diet excessive ssb consumption is associated with obesity a major risk factor for noncommunicable disease ncds particularly type 2 diabetes mellitus t2dm the rise in ssb consumption in indonesia driven by commercial factor increase the risk of t2dm and related health burden this study aim to investigate ssb consumption pattern caloric intake and sociodemographic characteristic affecting t2dm prevalence using probit regression estimate based on national socioeconomic survey susenas 2018 and basic health research riskesdas 2018 the sample size comprises 699959 individual with the unit of analysis focused on individual health outcome our descriptive result implies that 7649 incurred expense on at least one type of ssb in the past week readytodrink beverage were the most frequently consumed while factoryproduced liquid milk had the lowest average consumption probit regression analysis indicated that higher ssb caloric consumption significantly increased the probability of a t2dm diagnosis this study underscore the need for targeted intervention to reduce ssb consumption and address t2dm risk factor especially among higherincome household and specific region
34803376,adherence to treatment and glycemic control in patient with type 2 diabetes mellitus a 4year followup ptm bogor cohort study indonesia,purpose largescale evaluation of the treatment adherence in patient with type 2 diabetes mellitus dm in indonesian is limited we aim to evaluate the treatment adherence of indonesian type 2 dm patient using national big data and investigate it association with glycemic parameter patient and method we analyzed baseline and fourthyear data set from 2011 to 2018 obtained from the indonesian ministry of health cohort study of noncommunicable disease risk factor in bogor west java the ptm bogor cohort study this wa a retrospective cohort study in which the sample wa divided into two group one group adhered to treatment from primary health center and followed the prescribed medicinetreatment regimen treated group while the other did not follow the treatment untreated group we evaluated change in fasting blood glucose fbg and postprandial blood glucose ppbg by controlling for other variable result from 5690 subject 593 were type 2 dm diagnosed and 342 were eligible at the baseline at 4year observation 212 eligible patient remained consisting of 62 subject who adhered to treatment and more than double that number who were untreated 150 subject more significant decrease in fbg and ppbg were found in the treated group fbg 806 ppbg 903 than in the untreated group fbg 420 ppbg 673 the result of the multivariate analysis showed that after 4 year observation treated patient have reduced fbg 3304 time more and ppbg 3064 time more than untreated patient with control factor such a decrease in ldl level and use of oral drug conclusion there were less than half a many treated patient a untreated patient involved in the ptm bogor study group at the fourthyear followup treated patient experienced three time more significant decrease in fbg and ppbg than those who were untreated even after being controlled by several confounding factor given the importance of these finding it is suggested that immediate strategic action be taken to improve indonesian patient adherence to treatment
31911526,targeted and tailored pharmacistled intervention to improve adherence to antihypertensive drug among patient with type 2 diabetes in indonesia study protocol of a cluster randomised controlled trial,introduction current intervention programme to improve drug adherence are either too complex or expensive for implementation and scaleup in lowmiddleincome country the aim of this study is to assess the process and effect of implementing a lowcost targeted and tailored pharmacist intervention among patient with type 2 diabetes who are nonadherent to antihypertensive drug in a realworld primary care indonesian setting method and analysis a cluster randomised controlled trial with a 3month followup will be conducted in 10 community health centre chcs in indonesia type 2 diabetes patient aged 18 year and older who reported nonadherence to antihypertensive drug according to the medication adherence report scale mar are eligible to participate patient in chcs randomised to the intervention group will receive a tailored intervention based on their personal adherence barrier intervention may include reminder habitbased strategy family support counselling to educate and motivate patient and strategy to address other drugrelated problem intervention will be provided at baseline and at a 1month followup simple questionbased flowchart and an innovative adherence intervention wheel are provided to support the pharmacy staff patient in chcs randomised to the control group will receive usual care based on the indonesian guideline the primary outcome is the betweengroup difference in medication adherence change from baseline to 3month followup assessed by mar secondary outcome include change in patient blood pressure their medication belief assessed by the belief about medicine questionnaire bmqspecific a well a process characteristic of the intervention programme from a pharmacist and patient perspective ethic and dissemination ethical approval wa obtained from the ethical committee of universitas padjadjaran indonesia no 859un6kepec2019 and all patient will provide written informed consent prior to participation the finding of the study will be disseminated through international conference one or more peerreviewed journal and report to key stakeholder trial registration number nct04023734
38766481,balance performance fallsefficacy and social participation in patient with type 2 diabetes mellitus with and without vestibular dysfunction,background the performance of balance is an important factor to perform activity the complication of type 2 diabetes mellitus t2dm especially vestibular dysfunction vd could decrease balance performance and fallsefficacy fe which consequently impact social participation and quality of life qol purpose this study aimed to compare balance performance fe social participation and qol between individual with t2dm with and without vd method the participant comprised 161 t2dm with vd and 161 without vd three clinical test used for confirming vd included the head impulse test hit the dix hallpike test dht and the supine roll test srt the score of static and dynamic balance fe social participation and qol were compared between group result the balance performance fe social participation and qol were lower in the group with vd the number of patient who had severe social restriction wa higher in t2dm with vd than without vd 584 v 484 moreover all domain of qol physical psychological social relationship and environmental were lower in t2dm with vd than without vd conclusion the presence of vd in t2dm patient wa associated with decreased physical balance performance and increased social and qol disengagement comprehensive management related to balance and fe a well a the monitoring to support social participation and qol should be emphasized in patient with t2dm with vd
28689664,global regional and national disease burden estimate of acute lower respiratory infection due to respiratory syncytial virus in young child in 2015 a systematic review and modelling study,background we have previously estimated that respiratory syncytial virus rsv wa associated with 22 of all episode of severe acute lower respiratory infection alri resulting in 55 000 to 199 000 death in child younger than 5 year in 2005 in the past 5 year major research activity on rsv ha yielded substantial new data from developing country with a considerably expanded dataset from a large international collaboration we aimed to estimate the global incidence hospital admission rate and mortality from rsvalri episode in young child in 2015 method we estimated the incidence and hospital admission rate of rsvassociated alri rsvalri in child younger than 5 year stratified by age and world bank income region from a systematic review of study published between jan 1 1995 and dec 31 2016 and unpublished data from 76 high quality populationbased study we estimated the rsvalri incidence for 132 developing country using a risk factorbased model and 2015 population estimate we estimated the inhospital rsvalri mortality by combining inhospital case fatality ratio with hospital admission estimate from hospitalbased published and unpublished study we also estimated overall rsvalri mortality by identifying study reporting monthly data for alri mortality in the community and rsv activity finding we estimated that globally in 2015 331 million uncertainty range ur 216503 episode of rsvalri resulted in about 32 million 2738 hospital admission and 59 600 48 00074 500 inhospital death in child younger than 5 year in child younger than 6 month 14 million ur 1217 hospital admission and 27 300 ur 20 70036 200 inhospital death were due to rsvalri we also estimated that the overall rsvalri mortality could be a high a 118 200 ur 94 600149 400 incidence and mortality varied substantially from year to year in any given population interpretation globally rsv is a common cause of childhood alri and a major cause of hospital admission in young child resulting in a substantial burden on healthcare service about 45 of hospital admission and inhospital death due to rsvalri occur in child younger than 6 month an effective maternal rsv vaccine or monoclonal antibody could have a substantial effect on disease burden in this age group funding the bill melinda gate foundation
33744057,determinant of acute respiratory infection among child underfive year in indonesia,background acute respiratory infection ari among child under five year ha been identified a a risk factor for child morbidity leading to child mortality in indonesia many factor may cause ari however determinant associated with ari remain unclear in indonesia objective this study sought to analyze the determinant of ari among child aged under five year in indonesia method this study wa crosssectional and utilized secondary data from the 2017 indonesian demographic and health survey idhs a total of 15993 child under five year old were selected a respondent chisquared test and binary logistic regression were used to examine the determinant of ari among child under five year in indonesia result child aged 1 year odds ratio or 143 95 ci 104197 child aged 2 year or 154 95 ci 112211 mother occupation or 124 95 ci 1012154 poorest wealth index or 191 95 ci 126289 poor or 150 95 ci 101221 region of residence western indonesia or 196 95 ci 128200 middle of indonesia or 219 95 ci 144333 were significantly associated with ari among child under five year in indonesia conclusion this study revealed that the determinant of ari among child under five year in indonesia remain related to the sociodemographic aspect this research highlighted that the family and the living area wealth index remains essential in improving childrens health outcome practice implication our finding support increasing awareness of the lowincome family through adequate information and health promotion advancing the feasibility accessibility and affordability of health information and health service across all indonesian region should be strengthened
31232186,nitrogen dioxide and acute respiratory tract infection in child in indonesia,we evaluated association between air pollution nitrogen dioxide no2 and sulfur dioxide so2 and health in child aged 03 year in indonesia we included 4931 indonesian child born between 2009 and 2011 we assigned participant provinciallevels of no2 and so2 and examined association with low birth weight infant death neonatal death and acute respiratory infection ari we estimated odds ratio or and 95 confidence interval ci using a generalized estimating equation logistic regression model no2 exposure increased the risk for ari an interquartile range increase in mean no2 exposure increased the risk for ari by 18 or 118 95 ci 108128 and wa supported by quartile exposure category so2 wa not associated with the examined child health outcome no2 exposure increased the risk for respiratory infection in early childhood in indonesia abbreviationsariacute respiratory infectionciconfidence intervalgdrbgross domestic regional brutogeegeneralized estimating equationsidhsindonesian demographic health surveyiqrinterquartile rangelbwlow birth weightno2nitrogen dioxideorodds ratioso2sulfur dioxide
32666619,etiology of severe acute respiratory infection sari and misdiagnosis of influenza in indonesia 20132016,background severe acute respiratory infection sari account for a large burden of illness in indonesia however epidemiology of sari in tertiary hospital in indonesia is unknown this study sought to assess the burden clinical characteristic and etiology of sari and concordance of clinical diagnosis with confirmed etiology method data and sample were collected from subject presenting with sari a part of the acute febrile illness requiring hospitalization study afire in tertiary hospital clinical diagnosis wa ascertained from chart review sample were analyzed to determine the true etiology of sari at hospital and indonesia research partnership on infectious disease inarespond laboratory distribution and characteristic of sari by true etiology and accuracy of clinical diagnosis were assessed result four hundred and twenty of 1464 afire subject presented with sari etiology wa identified in 242 576 including 121 288 virus and bacteria associated with systemic infection 70 167 respiratory bacteria and virus other than influenza virus and 51 121 influenza virus case none of these influenza patient were accurately diagnosed a having influenza during hospitalization conclusion influenza wa misdiagnosed among all patient presenting with sari to indonesian tertiary hospital in the afire study diagnostic approach and empiric management should be guided by known epidemiology public health strategy to address the high burden of influenza should include broad implementation of sari screening vaccination program clinician education and awareness campaign improved diagnostic capacity and support for effective pointofcare test
32648313,immunopathology and immunotherapeutic strategy in severe acute respiratory syndrome coronavirus 2 infection,the outbreak of coronavirus disease 2019 covid19 and pandemic caused by severe acute respiratory syndrome coronavirus 2 sarscov2 ha become a major concern globally a of 14 april 2020 more than 19 million covid19 case have been reported in 185 country some patient with covid19 develop severe clinical manifestation while others show mild symptom suggesting that dysregulation of the host immune response contributes to disease progression and severity in this review we have summarized and discussed recent immunological study focusing on the response of the host immune system and the immunopathology of sarscov2 infection a well a immunotherapeutic strategy for covid19 immune evasion by sarscov2 functional exhaustion of lymphocyte and cytokine storm have been discussed a part of immunopathology mechanism in sarscov2 infection some potential immunotherapeutic strategy to control the progression of covid19 such a passive antibody therapy and use of interferon alphabeta and il6 receptor il6r inhibitor have also been discussed this may help u to understand the immune status of patient with covid19 particularly those with severe clinical presentation and form a basis for further immunotherapeutic investigation
32077450,european position paper on rhinosinusitis and nasal polyp 2020,the european position paper on rhinosinusitis and nasal polyp 2020 is the update of similar evidence based position paper published in 2005 and 2007 and 2012 the core objective of the epos2020 guideline is to provide revised uptodate and clear evidencebased recommendation and integrated care pathway in ar and cr epos2020 provides an update on the literature published and study undertaken in the eight year since the epos2012 position paper wa published and address area not extensively covered in epos2012 such a paediatric cr and sinus surgery epos2020 also involves new stakeholder including pharmacist and patient and address new target user who have become more involved in the management and treatment of rhinosinusitis since the publication of the last epos document including pharmacist nurse specialised care giver and indeed patient themselves who employ increasing selfmanagement of their condition using over the counter treatment the document provides suggestion for future research in this area and offer updated guidance for definition and outcome measurement in research in different setting epos2020 contains chapter on definition and classification where we have defined a large number of term and indicated preferred term a new classification of cr into primary and secondary cr and further division into localized and diffuse disease based on anatomic distribution is proposed there are extensive chapter on epidemiology and predisposing factor inflammatory mechanism differential diagnosis of facial pain allergic rhinitis genetics cystic fibrosis aspirin exacerbated respiratory disease immunodeficiency allergic fungal rhinosinusitis and the relationship between upper and lower airway the chapter on paediatric acute and chronic rhinosinusitis are totally rewritten all available evidence for the management of acute rhinosinusitis and chronic rhinosinusitis with or without nasal polyp in adult and child is systematically reviewed and integrated care pathway based on the evidence are proposed despite considerable increase in the amount of quality publication in recent year a large number of practical clinical question remain it wa agreed that the best way to address these wa to conduct a delphi exercise the result have been integrated into the respective section last but not least advice for patient and pharmacist and a new list of research need are included the full document can be downloaded for free on the website of this journal httpwwwrhinologyjournalcom
33755666,the incidence of acute respiratory infection in indonesian infant and association with vitamin d deficiency,background vitamin d deficiency ha been associated with acute respiratory infection ari in early life but this ha not been evaluated in indonesia we aimed to determine the incidence of ari in indonesian infant and to evaluate the association with vitamin d deficiency method from 23 december 2015 to 31 december 2017 we conducted a communitybased prospective cohort study in yogyakarta province we enrolled 422 pregnant woman and followed their infant from birth until 12 month of age for ari episode vitamin d status wa measured at birth and at age six month we performed cox proportional hazard regression analysis to evaluate the association between vitamin d deficiency and pneumonia incidence result at study completion 95 400422 of infant retained with a total of 412 child year of observation cyo the incidence of all ari and of whodefined pneumonia wa 389 95 ci 370408 and 025 95 ci 021030 episode per cyo respectively vitamin d deficiency at birth wa common 90 308344 and associated with more frequent episode of ari nonpneumonia adjusted odds ratio 448 95 ci1041934 vitamin d status at birth or six month wa not associated with subsequent pneumonia incidence but greater maternal sun exposure during pregnancy wa associated with a trend to less frequent ari and pneumonia in infant conclusion ari pneumonia and vitamin d deficiency at birth were common in indonesian infant minimising vitamin d deficiency at birth such a by supplementation of mother or safe sun exposure during pregnancy ha the potential to reduce ari incidence in infant in this setting
34939251,practical management of suspected hypersensitivity reaction to antituberculosis drug,tuberculosis tb is the commonest cause of death by a single infectious agent globally and rank amongst the top ten cause of global mortality the incidence of tb is highest in lowmiddle income country lmics prompt institution of and compliance with therapy are cornerstone for a favourable outcome in tb and to mitigate the risk of multiple drug resistant mdrtb which is challenging to treat there is some evidence that adverse drug reaction adrs and hypersensitivity reaction hsrs to antitb drug occur in over 60 and 34 of patient respectively both adrs and hsrs represent significant barrier to treatment adherence and are recognised risk factor for mdrtb hsrs to antitb drug are usually cutaneous and benign occur within few week after commencement of therapy and are likely to be tcell mediated severe and systemic tcell mediated hsrs and ige mediated anaphylaxis to antitb drug are relatively rare but important to recognise and treat promptly tcellmediated hsrs are more frequent amongst patient with coexisting hiv infection some patient develop multiple sensitisation to antitb drug whilst skin test patch test and in vitro diagnostics have been used in the investigation of hsrs to antitb drug their predictive value is not established they are onerous require specialist input of an allergist and are resourcedependent this is compounded by the global unmet demand for allergy specialist particularly in lowincome country licslmics and now the challenging circumstance of the severe acute respiratory syndrome coronavirus 2 sarscov2 pandemic this narrative review provides a critical analysis of the limited published evidence on this topic and proposes a cautious and pragmatic approach to optimise and standardise the management of hsrs to antitb drug this includes clinical risk stratification and a dual strategy involving sequential rechallenge and rapid drug desensitisation furthermore a concerted international effort is needed to generate realtime data on adrs hsrs safety and clinical outcome of these intervention
37287203,association between indoor air pollutant and risk factor for acute respiratory infection symptom in child under 5 an analysis of data from the indonesia demographic health survey,objective the study investigated the association between indoor air pollution iap and risk factor for acute respiratory infection ari symptom in child under 5 year of age method a crosssectional study wa conducted using data derived from indonesia demographic and health survey in 2017 binary logistic regression modeling wa employed to examine each predictor variable associated with ari among child under 5 year of age in indonesia result the study included a total of 4936 household with child among child under 5 year old 72 reported ari symptom the presence of ari symptom wa significantly associated with the type of residence wealth index and father smoking frequency which were considered the sample sociodemographic characteristic in the final model living in rural area having a high wealth index the father smoking frequency and a low education level were all linked to ari symptom conclusion the result revealed that household in rural area had a substantially higher level of reported ari symptom among child under 5 year old furthermore the father smoking frequency and low education level were associated with ari symptom
35498368,acute lower respiratory infection profile in child at tertiary hospital bandung is there a difference before and during covid19 pandemic,this study aim to analyze difference of the prevalence and characteristic of acute lower respiratory infection alri in child at tertiary hospital before and during covid19 pandemic this wa an observational analytic study with crosssectional design involving pediatric patient based on the time of the study which wa in 1 yearprepandemic a and 1 yearpandemic period b for period a inpatient data were retrieved from medical record and period b used pediatric alri registry the alri characteristic were analyzed with significance if p 05 prevalence in period a and b were 58 5349252 and 49 4098283 respectively the characteristic of alri for clinical comorbidities laboratory finding nlr tlc and chest radiograph showed significant difference p 05 alri a manifestation of confirmed covid19 were identified in 16 49 case prevalence of alri in child during covid19 pandemic is lower compared to before there are difference in the characteristic of alri in pediatrics
32728562,the incidence of stunting the frequencyduration of diarrhea and acute respiratory infection in toddler,background infectious disease such a diarrhea and acute respiratory infection ari lead to loss of appetite in child and stunting growth this study analyzes the relationship between the incidence of stunting and the frequencyduration of diarrhea and ari in child under five year design and method the stratified random sampling method wa used to obtain data from 152 child in 4 village in surabaya east java indonesia result the result showed that child under the age of five experience higher stunting duration and longer frequency of diarrhea the rho spearmen test showed difference in the incidence of stunting with the frequency of diarrhea p 0005 palpha 005 p 0003 palpha 005 with ari of p 0001 palpha 005 conclusion in conclusion stunting is related to the frequency and duration of diarrheal disease and ari therefore community integrated health center need to carryout counseling activity on child less than five year to determine their health status
38719213,zinc for prevention and treatment of the common cold,background the common cold is an acute selflimiting viral respiratory illness symptom include nasal congestion and mucus discharge sneezing sore throat cough and general malaise given the frequency of cold they are a public health burden and a significant cause of lost work productivity and school absenteeism there are no established intervention to prevent cold or shorten their duration however zinc supplement are commonly recommended and taken for this purpose objective to assess the effectiveness and safety of zinc for the prevention and treatment of the common cold search method we searched central medline embase cinahl and lilac to 22 may 2023 and searched web of science core collection and two trial registry to 14 june 2023 we also used reference checking citation searching and contact with study author to identify additional study selection criterion we included randomised controlled trial rcts in child or adult that tested any form of zinc against placebo to prevent or treat the common cold or upper respiratory infection urti we excluded zinc intervention in which zinc wa combined with other mineral vitamin or herb eg a multivitamin or mineral supplement containing zinc data collection and analysis we used the cochrane risk of bias tool to assess risk of bias and grade to assess the certainty of the evidence we independently extracted data when necessary we contacted study author for additional information we assessed zinc type and route with placebo in the prevention and treatment of the common cold primary outcome included the proportion of participant developing cold for analysis of prevention trial only duration of cold measured in day from start to resolution of the cold adverse event potentially due to zinc supplement eg unpleasant taste loss of smell vomiting stomach cramp and diarrhoea and adverse event considered to be potential complication of the common cold eg respiratory bacterial infection main result we included 34 study 15 prevention 19 treatment involving 8526 participant twentytwo study were conducted on adult and 12 study were conducted on child most trial were conducted in the usa n 18 followed by india indonesia iran and turkey two study each and australia burkina faso colombia denmark finland tanzania thailand and the uk one study each the 15 prevention study identified the condition a either common cold n 8 or urti n 7 however almost all therapeutic study 1719 focused on the common cold most study 1734 evaluated the effectiveness of zinc administered a lozenge 3 prevention 14 treatment in acetate gluconate and orotate form gluconate lozenge were the most common 917 zinc gluconate wa given at dos between 45 and 276 mgday for between 45 and 21 day five 517 lozenge study gave acetate lozenge and two 217 gave both acetate and gluconate lozenge one 117 lozenge study administered intranasal gluconate and lozenge orotate zinc in tandem for cold treatment of the 1734 study that did not use lozenge 117 gave capsule 317 administered dissolved powder 517 gave tablet 417 used syrup and 417 used intranasal administration most study were at unclear or high risk of bias in at least one domain there may be little or no reduction in the risk of developing a cold with zinc compared to placebo risk ratio rr 093 95 ci 085 to 101 i2 20 9 study 1449 participant lowcertainty evidence there may be little or no reduction in the mean number of cold that occur over five to 18 month of followup mean difference md 090 95 ci 193 to 012 i2 96 2 study 1284 participant lowcertainty evidence when cold occur there is probably little or no difference in the duration of cold in day md 063 95 ci 129 to 004 i2 77 3 study 740 participant moderatecertainty evidence and there may be little or no difference in global symptom severity standardised mean difference smd 004 95 ci 035 to 043 i2 0 2 study 101 participant lowcertainty evidence when zinc is used for cold treatment there may be a reduction in the mean duration of the cold in day md 237 95 ci 421 to 053 i2 97 8 study 972 participant lowcertainty evidence although it is uncertain whether there is a reduction in the risk of having an ongoing cold at the end of followup rr 052 95 ci 021 to 127 i2 65 5 study 357 participant very lowcertainty evidence or global symptom severity smd 003 95 ci 056 to 050 i2 78 2 study 261 participant very lowcertainty evidence and there may be little or no difference in the risk of a change in global symptom severity rr 102 95 ci 085 to 123 1 study 114 participant lowcertainty evidence thirtyone study reported nonserious adverse event 2422 participant it is uncertain whether there is a difference in the risk of adverse event with zinc used for cold prevention rr 111 95 ci 084 to 147 i2 0 7 study 1517 participant very lowcertainty evidence or an increase in the risk of serious adverse event rr 167 95 ci 078 to 357 i2 0 3 study 1563 participant lowcertainty evidence there is probably an increase in the risk of nonserious adverse event when zinc is used for cold treatment rr 134 95 ci 115 to 155 i2 44 2084 participant 16 study moderatecertainty evidence no treatment study provided information on serious adverse event no study provided clear information about adverse event considered to be potential complication of the common cold author conclusion the finding suggest that zinc supplementation may have little or no effect on the prevention of cold but may reduce the duration of ongoing cold with an increase in nonserious adverse event overall there wa wide variation in intervention including concomitant therapy and outcome across the study a well a incomplete reporting of several domain which should be considered when making conclusion about the efficacy of zinc for the common cold
35342776,multilevel analysis of lifestyle and household environment for toddler with symptom of acute respiratory infection ari in indonesia in 2007 2012 and 2017,introduction the morbidity and mortality rate of acute respiratory tract infection ari in child under 5 is relatively high in indonesia sociodemographic characteristic is considered one of the factor causing ari in indonesia however no study analyzed the prevalence of ari among toddler and the difference among the determinant factor in multiple period thus this study aimed to analyze the prevalence trend and determinant factor associated with ari symptom in child under 5 in indonesia in 2007 2012 and 2017 method this study analyzed crosssectional survey data from the demographic and health survey dhs in indonesia during 2007 2012 and 2017 bivariate and multivariate analysis with logistic regression wa performed using stata version 15 the final result were expressed in adjusted odds ratio aors and 95 confidence interval ci result the finding showed a progress in prevalence trend with a decrease in the percentage of child with ari symptom from 1125 2007 then 512 2012 to 422 2017 risk factor for toddler experiencing ari symptom were a follows younger maternal age or 113 95 cl 070181 in 2007 or 172 95 cl 103288 in 2012 and or 098 95 cl 048197 in 2017 smoking habit of family member or 112 95 cl 085148 in 2012 or 123 95 cl in 2017 poor drinking water quality or 112 95 cl 085148 in 2012 and or 123 95 cl in 2017 unavailable toilet facility or 127 95 cl 104156 in 2007 or 124 95 cl 095163 in 2012 and or 128 95 cl 097168 in 2017 conclusion there wa a decrease in the prevalence of ari symptom among child in 2007 2012 and 2017 with no prominent difference in other related factor the lifestyle and household environmental factor such a the use of dirty fuel the presence of smoker in the household the poor quality of drinking water unavailable toilet facility in addition to the maternal age and child age were the determinant factor that must be prioritized and improved family selfawareness should also be enhanced for better prospect for toddler survival
